date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:38	2680/2680	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:43%20GMT	http://www.southern-comfort-carriage.com/images/headings/events.gif	./sccs/www.southern-comfort-carriage.com/images/headings/events.gif	(from http://www.southern-comfort-carriage.com/events.htm)
10:16:39	2715/2715	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:45%20GMT	http://www.southern-comfort-carriage.com/images/headings/horses.gif	./sccs/www.southern-comfort-carriage.com/images/headings/horses.gif	(from http://www.southern-comfort-carriage.com/horses.htm)
10:16:40	2033/2033	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:41%20GMT	http://www.southern-comfort-carriage.com/images/headings/contact.gif	./sccs/www.southern-comfort-carriage.com/images/headings/contact.gif	(from http://www.southern-comfort-carriage.com/contact.htm)
10:16:42	5687/5687	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:16:41%20GMT	http://www.southern-comfort-carriage.com/thankyou.php	./sccs/www.southern-comfort-carriage.com/thankyou.html	(from http://www.southern-comfort-carriage.com/contact.htm)
10:16:43	17888/17888	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:16:42%20GMT	http://www.southern-comfort-carriage.com/gallery/index.php	./sccs/www.southern-comfort-carriage.com/gallery/index.html	(from http://www.southern-comfort-carriage.com/photos.htm)
10:16:43	1724/1724	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:46%20GMT	http://www.southern-comfort-carriage.com/images/headings/photos.gif	./sccs/www.southern-comfort-carriage.com/images/headings/photos.gif	(from http://www.southern-comfort-carriage.com/photos.htm)
10:16:44	4641/4641	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jul%202004%2007:14:33%20GMT	http://www.southern-comfort-carriage.com/gallery/templates/default/main.css	./sccs/www.southern-comfort-carriage.com/gallery/templates/default/main.css	(from http://www.southern-comfort-carriage.com/gallery/index.php)
10:16:46	17888/17888	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:16:45%20GMT	http://www.southern-comfort-carriage.com/gallery/index.php?gallery=.	./sccs/www.southern-comfort-carriage.com/gallery/indexd7d3.html	(from http://www.southern-comfort-carriage.com/gallery/index.php)
10:16:46	137/137	---M--	200	added ('OK')	image/gif	date:Fri,%2002%20Jul%202004%2006:35:39%20GMT	http://www.southern-comfort-carriage.com/gallery/templates/default/images/shadow-tabl.gif	./sccs/www.southern-comfort-carriage.com/gallery/templates/default/images/shadow-tabl.gif	(from http://www.southern-comfort-carriage.com/gallery/index.php)
10:16:47	197/197	---M--	200	added ('OK')	image/gif	date:Fri,%2002%20Jul%202004%2006:35:39%20GMT	http://www.southern-comfort-carriage.com/gallery/templates/default/images/shadow-tabr.gif	./sccs/www.southern-comfort-carriage.com/gallery/templates/default/images/shadow-tabr.gif	(from http://www.southern-comfort-carriage.com/gallery/index.php)
